0 1 36 39
1 0 132
2 3 4 97 147
3 2 137
4 5 94 128
5 3 4 97 147
6 7 32 148
7 6 87 136
8 9
9 8 11 52
10 8 11 52
11 10 12 135
12 64 74 142
13 106 139
14 10 12 135
15 16
16 15 35 43 44
17 58 120
18 60 61 122
19 51 65 75
20 21 26 28 101
21 20 150
22 23 73 88 127
23 22 55 114 134
24 25 54 86 115
25 13 24 105
26 27 91 155
27 21 26 28 101
28 29 30
29 21 26 28 101
30 31 49 131 151
31 29 30
32 33 45 98 117
33 7 32 148
34 15 35 43 44
35 34
36 37
37 1 36 39
38 1 36 39
39 38 57 102 126
40 41
41 40 82 104
42 15 35 43 44
43 42
44 33 45 98 117
45 15 35 43 44
46 19 47 153
47 46 89 152
48 112 116 138
49 50
50 31 49 131 151
51 8 11 52
52 68 69
53 25 54 86 115
54 53
55 56 63 125 130
56 22 55 114 134
57 58 120
58 38 57 102 126
59 60 61 122
60 59 123
61 62 90 110 124
62 60 61 122
63 64 74 142
64 56 63 125 130
65 66
66 51 65 75
67 68 69
68 67
69 70 79 143
70 68 69
71 14 144
72 23 73 88 127
73 71 72
74 51 65 75
75 64 74 142
76 77
77 48 76
78 70 79 143
79 78 118
80 18 81 92 133
81 80 121
82 19 47 153
83 84 85 100 146
84 83
85 25 54 86 115
86 84 85 100 146
87 23 73 88 127
88 6 87 136
89 13 24 105
90 27 91 155
91 62 90 110 124
92 93 95
93 18 81 92 133
94 93 95
95 5 94 128
96 3 4 97 147
97 96
98 99
99 33 45 98 117
100 21 26 28 101
101 84 85 100 146
102 17 103
103 38 57 102 126
104 13 24 105
105 40 82 104
106 107 129
107 106 139
108 71 72
109 62 90 110 124
110 109 113
111 112 116 138
112 111 141
113 22 55 114 134
114 109 113
115 112 116 138
116 25 54 86 115
117 78 118
118 33 45 98 117
119 1 36 39
120 80 121
121 58 120
122 149
123 0 132
124 56 63 125 130
125 62 90 110 124
126
127 5 94 128
128 23 73 88 127
129 40 82 104
130 31 49 131 151
131 56 63 125 130
132 18 81 92 133
133 0 132
134 10 12 135
135 22 55 114 134
136 108
137 7 32 148
138 106 139
139 112 116 138
140 111 141
141 140 145
142 46 89 152
143 14 144
144 70 79 143
145 84 85 100 146
146 140 145
147 7 32 148
148 3 4 97 147
149 20 150
150 149
151 46 89 152
152 31 49 131 151
153 154
154 19 47 153
155 29 30
